step,loss
100,0.237547
200,0.178331
300,0.123415
400,0.104557
500,0.093968
600,0.086556
700,0.077156
800,0.071450
900,0.063066
1000,0.065911
1100,0.059675
1200,0.060362
1300,0.055614
1400,0.051067
1500,0.050212
1600,0.050651
1700,0.048852
1800,0.045559
1900,0.044755
2000,0.046838
2100,0.045343
2200,0.045078
2300,0.044528
2400,0.044145
2500,0.041866
2600,0.040995
2700,0.041671
2800,0.040098
2900,0.041716
3000,0.039334
3100,0.039765
3200,0.038327
3300,0.038785
3400,0.039510
3500,0.036925
3600,0.038083
3700,0.038823
3800,0.038156
3900,0.037699
4000,0.036252
4100,0.035894
4200,0.036111
4300,0.037149
4400,0.035975
4500,0.034956
4600,0.035820
4700,0.034575
4800,0.035512
4900,0.035596
5000,0.034287
5100,0.035181
5200,0.034548
5300,0.033338
5400,0.032946
5500,0.033748
5600,0.033869
5700,0.033289
5800,0.033846
5900,0.033538
6000,0.033136
6100,0.032526
6200,0.032975
6300,0.033220
6400,0.033056
6500,0.033403
6600,0.033170
6700,0.032516
6800,0.033235
6900,0.031493
7000,0.031864
7100,0.032051
7200,0.031638
7300,0.031239
7400,0.032012
7500,0.031380
7600,0.031329
7700,0.031181
7800,0.030924
7900,0.030930
8000,0.031102
8100,0.031649
8200,0.030905
8300,0.030432
8400,0.031375
8500,0.032636
8600,0.030804
8700,0.030895
8800,0.030629
8900,0.032048
9000,0.031490
9100,0.030461
9200,0.030885
9300,0.030433
9400,0.030821
9500,0.030118
9600,0.030089
9700,0.030924
9800,0.030400
9900,0.030116
10000,0.030195
10100,0.030672
10200,0.029624
10300,0.029706
10400,0.029503
10500,0.028970
10600,0.029966
10700,0.030696
10800,0.029456
10900,0.029856
11000,0.029686
11100,0.029868
11200,0.029466
11300,0.030079
11400,0.029177
11500,0.029512
11600,0.028825
11700,0.029036
11800,0.029312
11900,0.029550
12000,0.029540
12100,0.029810
12200,0.029511
12300,0.029202
12400,0.028810
12500,0.029172
12600,0.029485
12700,0.029160
12800,0.028982
12900,0.029045
13000,0.028605
13100,0.029009
13200,0.029246
13300,0.028494
13400,0.028148
13500,0.028539
13600,0.028015
13700,0.028747
13800,0.029109
13900,0.028470
14000,0.029367
14100,0.028983
14200,0.028357
14300,0.028049
14400,0.029347
14500,0.028455
14600,0.027978
14700,0.027868
14800,0.027910
14900,0.028703
15000,0.028376
15100,0.028337
15200,0.027837
15300,0.028422
15400,0.027962
15500,0.027985
15600,0.028125
15700,0.028084
15800,0.028128
15900,0.028236
16000,0.027716
16100,0.027994
16200,0.028024
16300,0.027636
16400,0.027798
16500,0.028313
16600,0.027813
16700,0.027981
16800,0.027936
16900,0.027846
17000,0.027957
17100,0.027387
17200,0.027426
17300,0.028002
17400,0.027455
17500,0.027985
17600,0.027796
17700,0.027979
17800,0.027929
17900,0.027360
18000,0.027301
18100,0.027961
18200,0.027677
18300,0.027766
18400,0.027301
18500,0.027241
18600,0.027641
18700,0.027236
18800,0.027405
18900,0.027876
19000,0.027353
19100,0.027254
19200,0.027847
19300,0.027188
19400,0.026700
19500,0.027637
19600,0.026977
19700,0.027076
19800,0.026832
19900,0.027201
20000,0.026903
20100,0.027129
20200,0.027329
20300,0.027572
20400,0.028087
20500,0.026652
20600,0.026962
20700,0.027200
20800,0.026733
20900,0.026767
21000,0.027066
21100,0.027453
21200,0.027190
21300,0.027277
21400,0.026881
21500,0.026421
21600,0.026996
21700,0.027093
21800,0.026889
21900,0.027011
22000,0.027447
22100,0.027025
22200,0.026989
22300,0.027377
22400,0.026922
22500,0.026652
22600,0.027067
22700,0.026521
22800,0.026916
22900,0.026812
23000,0.027048
23100,0.026746
23200,0.026608
23300,0.026783
23400,0.026540
23500,0.027168
23600,0.026861
23700,0.027369
23800,0.026865
23900,0.027230
24000,0.026536
24100,0.027250
24200,0.026595
24300,0.026295
24400,0.026387
24500,0.026607
24600,0.027056
24700,0.026663
24800,0.026327
24900,0.026492
25000,0.026394
25100,0.026268
25200,0.026553
25300,0.026417
25400,0.026621
25500,0.026564
25600,0.026843
