step,loss,crop_size,lr,elapsed_sec
100,2.798778,256,1.00e-05,75.8
200,0.598526,256,2.00e-05,199.9
300,0.265614,512,3.00e-05,324.6
400,0.219692,512,4.00e-05,448.4
500,0.180728,512,5.00e-05,566.4
600,0.158342,512,6.00e-05,691.1
700,0.145576,256,7.00e-05,829.9
800,0.143243,512,8.00e-05,971.4
900,0.135370,512,9.00e-05,1107.5
1000,0.123385,512,1.00e-04,1197.0
1100,0.135597,256,1.00e-04,1271.0
1200,0.116445,512,1.00e-04,1339.0
1300,0.113830,256,1.00e-04,1406.9
1400,0.099467,512,1.00e-04,1474.6
1500,0.106278,256,1.00e-04,1542.6
1600,0.094153,512,1.00e-04,1610.5
1700,0.097679,512,1.00e-04,1678.1
1800,0.100293,256,1.00e-04,1794.3
1900,0.083762,256,1.00e-04,1918.2
2000,0.082679,512,1.00e-04,2044.9
2100,0.079491,256,1.00e-04,2166.9
2200,0.078056,256,1.00e-04,2290.1
2300,0.080650,256,1.00e-04,2417.3
2400,0.074475,256,1.00e-04,2541.9
2500,0.079466,256,1.00e-04,2666.5
2600,0.070457,512,1.00e-04,2778.4
2700,0.082468,256,1.00e-04,2846.1
2800,0.066528,512,1.00e-04,2914.0
2900,0.066929,256,1.00e-04,2981.8
3000,0.073972,512,1.00e-04,3050.0
3100,0.071033,256,1.00e-04,3117.9
3200,0.073719,512,1.00e-04,3185.8
3300,0.074605,512,1.00e-04,3253.8
3400,0.070631,256,1.00e-04,3363.5
3500,0.066078,256,1.00e-04,3487.8
3600,0.078392,256,1.00e-04,3611.6
3700,0.070948,512,1.00e-04,3731.0
3800,0.062369,256,1.00e-04,3837.4
3900,0.062561,256,1.00e-04,3885.4
4000,0.059803,256,1.00e-04,3933.8
4100,0.063574,512,1.00e-04,3982.0
4200,0.064494,512,1.00e-04,4030.5
4300,0.058668,512,1.00e-04,4078.7
4400,0.063046,256,1.00e-04,4126.9
4500,0.057569,512,1.00e-04,4175.2
4600,0.064309,256,1.00e-04,4223.5
4700,0.065284,256,1.00e-04,4271.8
4800,0.060019,256,1.00e-04,4319.9
4900,0.057799,512,1.00e-04,4368.4
5000,0.057494,512,1.00e-04,4416.4
5100,0.060153,512,1.00e-04,4469.5
5200,0.063581,256,1.00e-04,4517.8
5300,0.054972,256,1.00e-04,4566.0
5400,0.061429,512,1.00e-04,4614.4
5500,0.054430,512,1.00e-04,4662.6
5600,0.058937,256,1.00e-04,4710.7
5700,0.059651,256,1.00e-04,4759.0
5800,0.058452,256,1.00e-04,4807.4
5900,0.058060,512,1.00e-04,4914.1
6000,0.061133,256,1.00e-04,4967.3
6100,0.057984,256,1.00e-04,5015.6
6200,0.057953,256,1.00e-04,5063.7
6300,0.056443,256,1.00e-04,5112.1
6400,0.051384,256,1.00e-04,5160.4
6500,0.050941,256,1.00e-04,5208.6
6600,0.053374,256,1.00e-04,5257.0
6700,0.054798,256,1.00e-04,5305.3
6800,0.056363,512,1.00e-04,5353.4
6900,0.055966,256,1.00e-04,5401.6
7000,0.055388,256,1.00e-04,5449.8
7100,0.050246,512,1.00e-04,5498.0
7200,0.050264,256,1.00e-04,5546.0
7300,0.054414,512,1.00e-04,5594.3
7400,0.054049,512,1.00e-04,5642.6
7500,0.056298,256,1.00e-04,5690.7
7600,0.054301,256,1.00e-04,5738.7
7700,0.049414,512,1.00e-04,5786.8
7800,0.052086,256,1.00e-04,5853.1
7900,0.048436,512,1.00e-04,5977.2
8000,0.054024,256,1.00e-04,6082.7
8100,0.047693,512,1.00e-04,6130.8
8200,0.049163,512,1.00e-04,6179.1
8300,0.049390,512,1.00e-04,6227.6
8400,0.049453,512,1.00e-04,6276.2
8500,0.053179,256,1.00e-04,6324.3
8600,0.047109,256,1.00e-04,6372.8
8700,0.049515,256,1.00e-04,6421.1
8800,0.052242,512,1.00e-04,6469.9
8900,0.049652,256,1.00e-04,6518.1
9000,0.047986,256,1.00e-04,6566.3
9100,0.051431,512,1.00e-04,6614.5
9200,0.048365,512,1.00e-04,6662.8
9300,0.047400,512,1.00e-04,6711.3
9400,0.051002,512,1.00e-04,6759.4
9500,0.048621,512,1.00e-04,6807.6
9600,0.046739,512,1.00e-04,6855.9
9700,0.047573,512,1.00e-04,6904.3
9800,0.050427,512,1.00e-04,6952.6
9900,0.047590,256,1.00e-04,7000.7
10000,0.046125,256,1.00e-04,7071.9
10100,0.050044,512,1.00e-04,7205.6
10200,0.049764,256,1.00e-04,7273.8
10300,0.052744,512,1.00e-04,7341.5
10400,0.047212,512,1.00e-04,7409.3
10500,0.046786,512,1.00e-04,7477.0
10600,0.048917,256,1.00e-04,7529.2
10700,0.045524,512,1.00e-04,7577.2
10800,0.051575,256,1.00e-04,7625.3
10900,0.047670,256,1.00e-04,7673.6
11000,0.045326,256,1.00e-04,7721.9
11100,0.047480,256,1.00e-04,7769.9
11200,0.049927,256,1.00e-04,7817.8
11300,0.047130,256,1.00e-04,7866.1
